org_acquisition_id,org_id,acquiree_name,announced_date,acquiring_amount,currency,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,10,WiteSand,2022-02-14,NULL,NULL,NULL,"2024-06-13 17:00:09",NULL,NULL,NULL,NULL
2,10,Apstra,2020-12-07,NULL,NULL,NULL,"2024-06-13 17:02:23",NULL,NULL,NULL,NULL
3,10,SISRA,2020-11-25,NULL,NULL,NULL,"2024-06-13 17:02:59",NULL,NULL,NULL,NULL
4,10,"128 Technology",2020-10-19,450000000,$,NULL,"2024-06-13 17:03:03",NULL,NULL,NULL,NULL
5,10,"Mist Systems",2019-03-05,405000000,$,NULL,"2024-06-13 17:03:05",NULL,NULL,NULL,NULL
6,10,HTBASE,2018-11-29,NULL,NULL,NULL,"2024-06-13 17:03:08",NULL,NULL,NULL,NULL
7,10,Cyphort,2017-08-31,NULL,NULL,NULL,"2024-06-13 17:03:12",NULL,NULL,NULL,NULL
8,10,AppFormix,2016-12-01,NULL,NULL,NULL,"2024-06-13 17:03:15",NULL,NULL,NULL,NULL
9,10,Aurrion,2016-08-02,NULL,NULL,NULL,"2024-06-13 17:03:19",NULL,NULL,NULL,NULL
10,10,"BTI Systems",2016-04-04,NULL,NULL,NULL,"2024-06-13 17:03:21",NULL,NULL,NULL,NULL
