event_exibitor_id,event_id,exibitor_name,exibitor_desc,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,9," Accenture ","Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",NULL,"2024-06-17 12:56:30",NULL,NULL,NULL,NULL
2,9," Accu-Time Systems ","Accu-Time Systems provides integrated, advanced and easy to use, time and attendance solutions.",NULL,"2024-06-17 12:56:55",NULL,NULL,NULL,NULL
3,9," Actifio ","Actifio delivers enterprise data-as-a-service to global enterprise customers and service provider partners.",NULL,"2024-06-17 12:56:56",NULL,NULL,NULL,NULL
4,9," API Wizard ","API Wizard they entire focus on helping organizations spend less time on data entry & maintenance while improving data quality, get quicker.",NULL,"2024-06-17 12:56:57",NULL,NULL,NULL,NULL
5,9," Applaud ",Description,NULL,"2024-06-17 14:07:08",NULL,NULL,NULL,NULL
6,9," AppsForte ","AppsForte Inc is specializes in providing IT services including Managed Hosting, Application Development, and Disaster Recovery services.",NULL,"2024-06-17 14:09:36",NULL,NULL,NULL,NULL
7,10," Accu-Time Systems ","Accu-Time Systems provides integrated, advanced and easy to use, time and attendance solutions.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
8,10," Actifio ","Actifio delivers enterprise data-as-a-service to global enterprise customers and service provider partners.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
9,10," ADP ","ADP provides business outsourcing solutions that facilitate businesses in HR, payroll, and administration processes.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
10,10," Agamon ","Agamon is an AI-powered healthcare platform that converts clinical text into structured data.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
11,10," Akgun Software ","Akgun is a software company providing solutions in the fields of healthcare information systems.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
12,10," Alpha Net Consulting ","Anetcorp India is a IT services company offering solutions to complex business problems.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
13,11," 3Di Systems ","3Di Systems is recognized as a leading expert in providing custom web and mobile.",NULL,"2024-06-17 14:09:37",NULL,NULL,NULL,NULL
14,11," Accenture ","Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
15,11," Accu-Time Systems ","Accu-Time Systems provides integrated, advanced and easy to use, time and attendance solutions.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
16,11," Actifio ","Actifio delivers enterprise data-as-a-service to global enterprise customers and service provider partners.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
17,11," ADP ","ADP provides business outsourcing solutions that facilitate businesses in HR, payroll, and administration processes.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
18,11," AlphaNet Solutions ","AlphaNet Solutions is a company providing IT services and computer repairs.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
19,1," Acqueon ","Acqueon is an innovative provider of conversational engagement software.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
20,1," Aisera ","Aisera is a leading provider of Generative AI Solutions that helps enterprises boost revenue, improve user productivity & get immediate ROI.",NULL,"2024-06-17 14:09:38",NULL,NULL,NULL,NULL
21,1," aptpod ","aptpod has been in pursuit of frameworks that optimize all layers of data gathering.",NULL,"2024-06-17 14:09:39",NULL,NULL,NULL,NULL
22,1," Armory ","Armory is an enterprise software company commercializing the open-source continuous delivery platform, Spinnaker.",NULL,"2024-06-17 14:09:39",NULL,NULL,NULL,NULL
23,1," BICS ","BICS is recognized in the wholesale communications market as a top global voice carrier and the leading provider of mobile data services",NULL,"2024-06-17 14:09:39",NULL,NULL,NULL,NULL
24,1," Bloombase ","Bloombase is an intelligent storage firewall company",NULL,"2024-06-17 14:09:39",NULL,NULL,NULL,NULL
25,2," 0pass ","0pass is an authentication platform that removes the number one cybersecurity risk facing organizations.",NULL,"2024-06-17 14:09:39",NULL,NULL,NULL,NULL
26,2," 1Password ","1Password operates as a password manager for documents, credit card information, and addresses.",NULL,"2024-06-17 14:09:39",NULL,NULL,NULL,NULL
