event_speaker_id,event_id,speaker_name,designation,company_name,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,1," Ana Margarita Medina ","Staff Developer Advocate"," LightStep ",NULL,"2024-06-17 15:22:13",NULL,NULL,NULL,NULL
2,1," Bhaskarjyoti Saikia ",,,NULL,"2024-06-17 15:22:15",NULL,NULL,NULL,NULL
3,1," Joshua Burgin ",,,NULL,"2024-06-17 15:22:17",NULL,NULL,NULL,NULL
4,1," Luis Maldonado ",,,NULL,"2024-06-17 15:22:19",NULL,NULL,NULL,NULL
5,1," Provectus ",,,NULL,"2024-06-17 15:22:22",NULL,NULL,NULL,NULL
6,2," Aakash Shah ",CTO," oak9 ",NULL,"2024-06-17 15:22:24",NULL,NULL,NULL,NULL
7,2," Aaron Rosenmund ","Director of Security Research and Curriculum"," Pluralsight ",NULL,"2024-06-17 15:22:27",NULL,NULL,NULL,NULL
8,2," Aaron Stanley ","VP of Security"," dbt Labs ",NULL,"2024-06-17 15:22:29",NULL,NULL,NULL,NULL
9,2," Aaron Turner ","SaaS CTO"," Vectra Networks ",NULL,"2024-06-17 15:22:32",NULL,NULL,NULL,NULL
10,2," Abel Rodriguez ",,,NULL,"2024-06-17 15:22:34",NULL,NULL,NULL,NULL
11,2," Abhay Bhargav ","Founder and CEO"," we45 ",NULL,"2024-06-17 15:22:36",NULL,NULL,NULL,NULL
12,2," Abhijith B R ",Founder," Adversary Village ",NULL,"2024-06-17 15:22:39",NULL,NULL,NULL,NULL
13,2," Abhilasha Bhargav-Spantzel ","Partner Security Architect"," Microsoft ",NULL,"2024-06-17 15:22:41",NULL,NULL,NULL,NULL
14,2," Aakash Shah ",CTO," oak9 ",NULL,"2024-06-17 15:22:44",NULL,NULL,NULL,NULL
15,2," Aaron Rosenmund ","Director of Security Research and Curriculum"," Pluralsight ",NULL,"2024-06-17 15:22:46",NULL,NULL,NULL,NULL
16,2," Aaron Stanley ","VP of Security"," dbt Labs ",NULL,"2024-06-17 15:22:49",NULL,NULL,NULL,NULL
17,2," Aaron Turner ","SaaS CTO"," Vectra Networks ",NULL,"2024-06-17 15:22:51",NULL,NULL,NULL,NULL
18,2," Abel Rodriguez ",,,NULL,"2024-06-17 15:22:53",NULL,NULL,NULL,NULL
19,2," Abhay Bhargav ","Founder and CEO"," we45 ",NULL,"2024-06-17 15:22:56",NULL,NULL,NULL,NULL
20,2," Abhijith B R ",Founder," Adversary Village ",NULL,"2024-06-17 15:22:58",NULL,NULL,NULL,NULL
21,2," Abhilasha Bhargav-Spantzel ","Partner Security Architect"," Microsoft ",NULL,"2024-06-17 15:23:01",NULL,NULL,NULL,NULL
22,4," Abdullah Gharaibeh ",,,NULL,"2024-06-17 15:23:03",NULL,NULL,NULL,NULL
