org_funding_id,org_id,transaction_name,announced_date,money_raised,no_of_investors,currency,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,8,"Series B - Figure 1",2017-06-13,10000000,7,$,NULL,"2024-06-13 19:10:02",NULL,NULL,NULL,NULL
2,8,"Series A - Figure 1",2015-10-15,5000000,5,$,NULL,"2024-06-13 19:10:50",NULL,NULL,NULL,NULL
3,8,"Venture Round - Figure 1",2015-08-04,2500000,0,$,NULL,"2024-06-13 19:10:55",NULL,NULL,NULL,NULL
4,8,"Series A - Figure 1",2014-08-06,4000000,4,$,NULL,"2024-06-13 19:10:58",NULL,NULL,NULL,NULL
5,8,"Seed Round - Figure 1",2013-12-09,2000000,9,$,NULL,"2024-06-13 19:11:01",NULL,NULL,NULL,NULL
6,6,"Seed Round - Furno",2024-02-02,6500000,4,$,NULL,"2024-06-13 19:11:05",NULL,NULL,NULL,NULL
7,6,"Seed Round - Furno",2023-07-14,4500000,2,$,NULL,"2024-06-13 19:11:07",NULL,NULL,NULL,NULL
8,9,"Pre Seed Round - G2Q Computing",2024-02-19,120000,1,$,NULL,"2024-06-13 19:11:12",NULL,NULL,NULL,NULL
9,5,"Pre Seed Round - Interviewgpt.io",2024-05-01,100000,0,$,NULL,"2024-06-13 19:11:16",NULL,NULL,NULL,NULL
10,4,"Seed Round - Jugyah",2023-11-03,NULL,13,NULL,NULL,"2024-06-13 19:11:19",NULL,NULL,NULL,NULL
11,10,"Post-IPO Equity - Juniper Networks",2021-01-27,4300000,0,$,NULL,"2024-06-13 19:11:23",NULL,NULL,NULL,NULL
12,10,"Post-IPO Equity - Juniper Networks",2020-11-30,18100000,0,$,NULL,"2024-06-13 19:11:26",NULL,NULL,NULL,NULL
13,10,"Post-IPO Equity - Juniper Networks",2018-12-13,1600000,0,$,NULL,"2024-06-13 19:11:29",NULL,NULL,NULL,NULL
14,10,"Post-IPO Equity - Juniper Networks",2014-01-22,18800000,0,$,NULL,"2024-06-13 19:11:32",NULL,NULL,NULL,NULL
15,10,"Seed Round - Juniper Networks",1996-08-01,NULL,1,NULL,NULL,"2024-06-13 19:11:34",NULL,NULL,NULL,NULL
16,10,"Pre Seed Round - Juniper Networks",1996-01-01,200000,1,$,NULL,"2024-06-13 19:11:37",NULL,NULL,NULL,NULL
17,24,"Series A - Matel Motion",2024-05-16,333000000,3,₹,NULL,"2024-06-13 19:11:41",NULL,NULL,NULL,NULL
18,14,"Pre Seed Round - Open Insurtech",2022-01-01,100000,0,$,NULL,"2024-06-13 19:11:46",NULL,NULL,NULL,NULL
19,7,"Pre Seed Round - Reviway",2024-02-19,120000,1,$,NULL,"2024-06-13 19:11:51",NULL,NULL,NULL,NULL
20,27,"Pre Seed Round - Sarla Aviation",2024-05-13,NULL,2,NULL,NULL,"2024-06-13 19:11:54",NULL,NULL,NULL,NULL
21,25,"Venture Round - Kudos",2021-12-06,10000000,1,$,NULL,"2024-06-13 19:17:54",NULL,NULL,NULL,NULL
22,25,"Seed Round - Kudos",2019-04-30,600000,0,$,NULL,"2024-06-13 19:17:57",NULL,NULL,NULL,NULL
23,25,"Angel Round - Kudos",2014-04-01,3000000,0,$,NULL,"2024-06-13 19:18:00",NULL,NULL,NULL,NULL
24,25,"Angel Round - Kudos",2013-07-01,1500000,0,$,NULL,"2024-06-13 19:18:03",NULL,NULL,NULL,NULL
25,25,"Seed Round - Kudos",2012-05-01,680000,0,$,NULL,"2024-06-13 19:18:06",NULL,NULL,NULL,NULL
26,25,"Seed Round - Kudos",2011-05-01,375000,0,$,NULL,"2024-06-13 19:19:42",NULL,NULL,NULL,NULL
27,23,"Series A - MineOne",2021-11-10,20000000,0,$,NULL,"2024-06-13 19:19:46",NULL,NULL,NULL,NULL
